category,aspect,tag,polarity,scope
*,质量,质量好,positive,general
*,质量,质量差,negative,general
*,物流,发货快,positive,general
*,物流,物流慢,negative,general
*,包装,包装好,positive,general
*,包装,包装差,negative,general
*,价格,性价比高,positive,general
*,价格,价格贵,negative,general
*,客服,客服好,positive,general
*,客服,客服差,negative,general
*,正品,正品放心,positive,general
*,正品,疑似假货,negative,general
*,外观,外观好看,positive,general
*,外观,外观一般,negative,general
*,耐用,很耐用,positive,general
*,耐用,容易坏,negative,general
*,推荐,会回购,positive,general
*,推荐,不推荐,negative,general
图书音像,内容,内容不错,positive,category
图书音像,内容,内容一般,negative,category
服饰服装,尺码,尺码合适,positive,category
鞋类箱包,尺码,尺码合适,positive,category
运动户外,尺码,尺码合适,positive,category
服饰服装,尺码,尺码不准,negative,category
鞋类箱包,尺码,尺码不准,negative,category
运动户外,尺码,尺码不准,negative,category
服饰服装,面料,面料不错,positive,category
鞋类箱包,面料,面料不错,positive,category
运动户外,面料,面料不错,positive,category
服饰服装,面料,面料差,negative,category
鞋类箱包,面料,面料差,negative,category
运动户外,面料,面料差,negative,category
服饰服装,款式,款式好看,positive,category
鞋类箱包,款式,款式好看,positive,category
运动户外,款式,款式好看,positive,category
服饰服装,款式,款式一般,negative,category
鞋类箱包,款式,款式一般,negative,category
运动户外,款式,款式一般,negative,category
手机/数码,续航,续航久,positive,category
电脑/办公,续航,续航久,positive,category
家用电器,续航,续航久,positive,category
手机/数码,续航,续航差,negative,category
电脑/办公,续航,续航差,negative,category
家用电器,续航,续航差,negative,category
手机/数码,屏幕,屏幕清晰,positive,category
电脑/办公,屏幕,屏幕清晰,positive,category
手机/数码,屏幕,屏幕差,negative,category
电脑/办公,屏幕,屏幕差,negative,category
美妆个护,味道,味道不错,positive,category
食品/保健,味道,味道不错,positive,category
美妆个护,味道,味道一般,negative,category
食品/保健,味道,味道一般,negative,category
食品/保健,新鲜,很新鲜,positive,category
